 transaction_timestamp , count  
 2019-08-31            ,     87
 2019-09-01            ,   1047
 2019-09-02            ,   2491
 2019-09-03            ,   5614
 2019-09-04            ,   6500
 2019-09-05            ,   7362
 2019-09-06            ,   7719
 2019-09-07            ,   8074
 2019-09-08            ,   9301
 2019-09-09            ,  12544
 2019-09-10            ,  11750
 2019-09-11            ,  12798
 2019-09-12            ,  17356
 2019-09-13            ,  15977
 2019-09-14            ,  17209
 2019-09-15            ,  16235
 2019-09-16            ,  27320
 2019-09-17            ,  29860
 2019-09-18            ,  33444
 2019-09-19            ,  41963
 2019-09-20            ,  50276
 2019-09-21            ,  62241
 2019-09-22            ,  72892
 2019-09-23            ,  54348
 2019-09-24            ,  24712
 2019-09-25            ,  35580
 2019-09-26            , 133415
 2019-09-27            ,  50558
 2019-09-28            ,  58386
 2019-09-29            ,   3707
 2019-09-30            ,   4283
 2019-10-01            ,   4287
 2019-10-02            ,   2166
 2019-10-03            ,   2567
 2019-10-04            ,   4246
 2019-10-05            ,   9542
 2019-10-06            ,    257
 2019-10-07            ,     48
 2019-10-08            ,     31
 2019-10-09            ,    179
 2019-10-10            ,    355
 2019-10-29            ,      1
 2019-10-30            ,     11
 2019-10-31            ,     28
 2019-11-01            ,     58
 2019-11-02            ,     62
 2019-11-03            ,     45
 2019-11-04            ,    133
 2019-11-05            ,    205
 2019-11-06            ,    213
 2019-11-07            ,    241
 2019-11-08            ,    341
 2019-11-09            ,     35
 2019-11-10            ,     11
 2019-11-11            ,      1
