 reg_timestamp , count  
 2019-08-31    ,   1161
 2019-09-01    ,   8976
 2019-09-02    ,  15258
 2019-09-03    ,  30975
 2019-09-04    ,  24801
 2019-09-05    ,  21517
 2019-09-06    ,  19780
 2019-09-07    ,  18097
 2019-09-08    ,  20578
 2019-09-09    ,  25541
 2019-09-10    ,  23186
 2019-09-11    ,  24480
 2019-09-12    ,  28254
 2019-09-13    ,  26628
 2019-09-14    ,  26288
 2019-09-15    ,  30387
 2019-09-16    ,  39598
 2019-09-17    ,  41421
 2019-09-18    ,  45579
 2019-09-19    ,  50763
 2019-09-20    ,  57779
 2019-09-21    ,  64133
 2019-09-22    ,  63337
 2019-09-23    , 100444
 2019-09-24    ,  41705
 2019-09-25    ,  43068
 2019-09-26    ,  44598
 2019-09-27    ,  21930
 2019-09-28    ,  24417
 2019-09-29    ,   4245
 2019-09-30    ,   5368
 2019-10-01    ,   4399
 2019-10-02    ,   2989
 2019-10-03    ,   3240
 2019-10-04    ,   4222
 2019-10-05    ,   5878
 2019-10-06    ,     18
 2019-10-29    ,     17
 2019-10-30    ,    183
 2019-10-31    ,    158
 2019-11-01    ,    194
 2019-11-02    ,    222
 2019-11-03    ,    143
 2019-11-04    ,    275
 2019-11-05    ,    324
 2019-11-06    ,    304
 2019-11-07    ,    311
 2019-11-08    ,    358
 2019-11-09    ,    124
 2019-11-10    ,     61
 2019-11-11    ,      7
